College,Dept,Course Prefix,Course Name,Units,Description,College+Dept,Dept+CourseNum
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-200,Special Problems for Undergraduates,1-2 units,"Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 4 units, with a maximum of 2 units per quarter.  Credit can only be used to satisfy free electives.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-200"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-210,Agricultural Leadership Experience,1 unit,"Participation in activities that promote personal growth and leadership development, including team work, cooperation, communication, problem solving, time management, and organization. Support CAFES in recruitment, public awareness, educational programs, campus tours, fundraising, and youth career development events. The Class Schedule will list topic selected. Total credit limited to 2 units. 1 activity.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-210"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-212,Leadership Practice: Poly Royal Rodeo,3 units,"Application of the management and operations of the Poly Royal Rodeo event taking place during Open House at Cal Poly.  Principles and procedures in planning, organizing, financing, promoting, and managing a major collegiate rodeo and the rodeo industry are discussed.  Credit/No Credit grading only.  1 lecture, 2 activities.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-212"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-243,Theory and Practice of Rodeo,2 units,"Beginning through advanced skills in the event areas of college rodeo.  Areas include saddle bronc, bareback, and bull riding; calf, team, and breakaway roping; steer wrestling, goat tying, and barrel racing.  Minimum of 10 hours of laboratory per week.  Total credit limited to 8 units.  Credit/No Credit grading.  Enrollment limited to those qualified to compete in intercollegiate rodeo.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-243"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-315,Principles of Organic Crop Production,4 units,"Origins, application, regulation and technology of organic crop production.  Theoretical and practical issues surrounding organic crop production from a cross-disciplinary perspective.  Topics include the history of the organic movement; current regulation and certification; and field management practices and technologies.  Features industry guest lecturers.  Field trip required.  3 lectures, 1 activity.  Crosslisted as AEPS/AG 315.  Fulfills GE Area Upper-Division B (GE Areas B5, B6, or B7 for students on the 2019-20 catalog).","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-315"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-330,"Cal Poly Land: Nature, Technology, and Society",4 units,"Scientific investigation of the natural features of the Cal Poly landscape and their transformations by land management technology.  Environmental, economic, social, and political effects of agriculture, resource extraction, construction technology.  Educational, land-use, long term planning issues.  4 lectures.  Crosslisted as AG/ISLA/SCM/UNIV 330.  Fulfills GE Area Upper-Division B (GE Areas B5, B6, or B7 for students on the 2019-20 catalog).","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-330"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-339,Internship in Agriculture,1-12 units,Selected students will spend up to 12 weeks with an approved agricultural firm engaged in production or related business.  Time will be spent applying and developing production and managerial skills and abilities.  One unit of credit may be allowed for each full week of completed and reported internship.  Credit/No Credit grading.,"College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-339"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-350,The Global Environment,4 units,"Interdisciplinary investigation of how human activities impact the Earth's environment on a global scale.  Examination of population, resource use, climate change, and biodiversity from scientific/technical and social/economic/ historical/political perspectives.  Use of remote sensing maps.  Sustainable solutions.  4 lectures.  Crosslisted as AG/EDES/ENGR/GEOG/ISLA/SCM/UNIV 350.  Fulfills GE Area Upper-Division B (GE Areas B5, B6, or B7 for students on the 2019-20 catalog).","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-350"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-360,Holistic Management,4 units,"Application of holistic management, a goal-oriented, value-driven framework for making decisions that are ecologically, economically, and socially sound.  Impact of technology and other tools on ecosystem processes.  Holistic approach to management, especially of land-based resources, aimed toward greater biodiversity and sustainability.  Not open to students with credit in AG 450.  3 lectures, 1 laboratory.  Crosslisted as AG/ASCI 360.  Fulfills GE Area Upper-Division B (GE Areas B5, B6, or B7 for students on the 2019-20 catalog).","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-360"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-400,Special Problems for Advanced Undergraduates,1-2 units,"Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 4 units, with a maximum of 2 units per quarter.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-400"
