College,Major,Program,Course Prefix,Course Name,Color
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 444,Aircraft Design II,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 471,Selected Advanced Laboratory,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 431,Aerospace Structural Analysis II,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 548,Complexity in Engineered Systems,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 307,Experimental Aerodynamics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 566,Advanced Topics in Spacecraft Design,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 534,Aerospace Structural Dynamics Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 561,Vehicle Integration and Testing,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 567,Launch Vehicle and Missile Design,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 220,Aerospace Systems Engineering and Integration,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 549,Systems Engineering Applications,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 525,Computational Fluid Dynamics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 445,Aircraft Design III,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 406,Applied Computational Fluid Dynamics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 513,Applications of Unmanned Aircraft Systems,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 541,Air Breathing Propulsion,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,STAT 312,Statistical Methods for Engineers (Upper-Division B) 1,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,PHYS 133,General Physics III,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 405,Supersonic and Hypersonic Aerodynamics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 455,Introduction to Human Spaceflight,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,CE 204,Mechanics of Materials I,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,EE 251,Electric Circuits Laboratory,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 562,Space Operations,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 355,Space Environments I,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 299,Aerospace Thermodynamics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 402,Spacecraft Propulsion Systems,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 535,Advanced Aerospace Structural Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 449,Spacecraft Design III,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 517,Multidisciplinary Design and Optimization,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 408,Plasma Applications in Aerospace,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,HNRS/MATH 143,Calculus III (Area B Electives) 1,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 553,Advanced Control Theory,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,CE 207,Mechanics of Materials II,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,ME 211,Engineering Statics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 519,Fundamentals of Vehicle Dynamics and Control,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 425,Aircraft Performance,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,HNRS/MATH 142,Calculus II (B4) 1,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 450,Introduction to Aerospace Systems Engineering,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,EE 201,Electric Circuit Theory,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 433,Experimental Stress Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,IME 144,Introduction to Design and Manufacturing,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 435,Aerospace Numerical Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 215,Introduction to Aerospace Design,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 303,Aerospace Gas Dynamics and Heat Transfer,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 560,Advanced Spacecraft Dynamics and Control,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 356,Space Environments II,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,ME 212,Engineering Dynamics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 557,Advanced Orbital Mechanics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 320,Fundamentals of Dynamics and Control,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 409,Flight Test,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 448,Spacecraft Design II,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 546,Spacecraft Systems Design,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 570,Selected Advanced Topics 2,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 465,Aerospace Systems Senior Laboratory,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 568,Aerodynamic Research and Development I,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 302,Aerospace Fluid Mechanics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 446,Spacecraft Electrical and Electric Systems,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 452,Spaceflight Dynamics II,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 542,Electric and Advanced Propulsion,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 421,Spacecraft Attitude Dynamics and Control,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,MATE 210,Materials Engineering,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 470,Selected Advanced Topics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,MATH 241,Calculus IV,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,HNRS 134/PHYS 141,General Physics IA (Area B Electives) 1,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 515,Continuum Mechanics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 533,Finite Elements for Aerospace Structural Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,MATH 244,Linear Analysis I,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,CHEM 124,General Chemistry for Physical Science and Engineering I (B1 & B3) 1,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 565,Advanced Topics in Aircraft Design,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 401,Propulsion Systems,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 407,Reentry Aerodynamics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 532,Advanced Aerospace Composite Design,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 522,Boundary-Layer Theory,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 432,Advanced Composite Structures Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 300,Aerospace Engineering Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 420,Aircraft Dynamics and Control,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 331,Aerospace Structural Analysis I,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 526,Spacecraft Thermal/Fluid Control,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 121,Aerospace Fundamentals,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 540,Elements of Rocket Propulsion,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 460,Aerospace Engineering Professional Preparation,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,HNRS/MATH 141,Calculus I (B4) 1,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 571,Selected Advanced Topics Laboratory 2,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,HNRS/PHYS 132,General Physics II,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 512,Aerospace Vehicle Software Application,#ffbf00
