Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,10,49,0,59,4,14,9,0,100,15,17,5,5,2,16,5,13,44,35,52,102,9,73,17,67,31,17,9,258,16
Agricultural and Environmental Plant Sciences,26,41,7,28,9,6,1,3,28,35,82,10,7,14,20,1,102,6,10,109,61,42,19,217,31,7,2,45,18,18
Agricultural Business,24,36,0,17,3,7,1,0,18,4,51,32,4,13,21,2,95,2,5,104,34,15,22,66,23,3,7,18,6,17
Agricultural Communication,23,28,0,19,7,7,0,0,16,11,43,18,39,8,17,6,69,8,19,80,23,15,18,39,15,7,24,21,4,12
Agricultural Science,50,60,1,23,4,12,3,2,30,7,137,41,17,18,36,12,197,8,24,177,83,18,24,177,63,5,18,64,18,29
Agricultural Systems Management,24,39,6,45,2,13,2,0,46,9,105,21,18,10,21,8,125,11,22,103,90,23,43,62,65,5,16,37,44,45
Animal Science,36,108,5,84,19,34,6,9,86,27,180,52,5,19,111,49,300,20,23,238,140,159,56,174,43,19,10,96,43,48
Anthropology and Geography,133,26,8,37,17,20,1,2,28,30,247,36,18,20,30,38,39,5,10,46,49,12,24,46,39,1,2,24,5,21
Architectural Engineering,5,24,0,27,0,6,1,0,85,4,6,2,10,3,9,3,8,14,14,24,54,3,40,2,24,13,5,1,34,4
Architecture,17,3,0,3,0,5,0,0,71,2,16,1,17,3,6,6,9,2,5,8,15,1,2,3,8,3,5,5,15,3
Art and Design,134,28,10,23,1,9,2,4,14,14,14,8,136,15,4,18,16,14,10,24,49,7,8,14,1,0,18,11,14,16
Biochemistry,8,30,4,69,30,37,0,0,43,15,15,3,8,1,23,8,37,7,5,31,36,179,31,22,16,13,1,0,23,14
Biological Sciences,65,51,20,143,71,65,0,0,65,32,211,16,14,31,72,43,47,15,23,79,90,156,78,71,52,27,13,36,35,39
Biomedical Engineering,13,57,1,77,7,13,0,0,92,20,19,6,16,3,21,11,27,73,33,55,113,73,87,13,53,58,10,10,78,53
BioResource and Agricultural Engineering,19,22,3,38,5,7,0,0,37,10,59,9,11,4,13,4,38,18,11,32,64,25,35,23,62,17,7,8,56,17
Business Administration,27,37,2,15,1,5,2,0,18,11,25,74,5,13,6,10,12,1,6,57,25,2,26,11,1,1,10,16,7,19
Chemistry,8,28,4,62,32,37,0,0,33,16,13,3,8,1,17,7,35,11,16,29,36,138,45,16,17,22,2,0,26,12
Child Development,27,5,1,18,24,22,0,0,15,5,13,3,6,2,21,88,3,3,1,5,3,13,11,0,0,2,2,5,0,1
City and Regional Planning,192,64,14,48,8,15,1,0,56,24,295,58,38,27,21,67,32,10,13,80,101,1,63,33,46,10,20,63,15,25
Civil Engineering,11,21,3,38,4,7,0,0,66,9,55,5,9,8,8,10,20,20,13,29,97,22,41,13,121,34,5,14,65,9
Communication Studies,45,10,2,11,1,4,0,1,10,5,12,4,16,4,2,13,1,1,10,9,9,0,14,1,2,1,15,10,0,4
Comparative Ethnic Studies,580,58,15,58,22,39,16,16,56,70,191,93,28,85,29,101,16,5,16,74,67,1,49,15,36,2,10,25,13,17
Computer Engineering,14,45,4,51,4,13,5,0,59,19,33,4,14,5,15,10,35,93,88,56,88,19,70,23,30,52,11,16,49,63
Computer Science,31,60,3,86,16,38,11,2,105,45,74,21,51,19,10,23,57,86,297,93,173,56,170,41,65,58,31,40,113,122
Construction Management,11,25,0,18,4,9,2,0,88,4,37,20,7,4,8,6,18,4,4,37,95,6,25,12,19,5,7,15,17,15
Dairy Science,12,35,3,25,6,14,3,0,29,12,50,28,14,10,41,11,175,7,11,121,48,59,27,88,12,8,8,39,15,18
Economics,14,19,0,7,1,1,1,1,11,4,12,38,1,9,2,5,1,3,16,24,16,0,24,4,1,2,5,0,9,9
Electrical Engineering,33,102,13,119,12,21,18,0,159,38,64,28,61,14,15,17,74,290,253,121,198,42,158,38,104,90,33,34,157,95
English,86,12,5,26,18,19,0,6,7,94,6,4,26,31,0,6,2,1,18,11,10,0,10,4,0,0,1,16,1,1
Environmental Earth and Soil Sciences,136,82,14,69,21,34,3,2,85,44,473,44,41,28,54,47,161,17,31,196,177,58,66,226,300,8,22,111,52,51
Environmental Engineering,13,18,1,33,2,11,1,0,33,10,61,7,9,9,22,10,30,13,6,31,52,49,44,21,65,17,6,11,45,13
Environmental Management and Protection,154,93,14,76,26,35,3,2,79,37,503,55,39,25,52,51,171,16,21,220,185,67,73,245,266,6,17,126,41,54
Food Science,21,27,1,28,10,10,3,0,20,12,42,8,5,12,28,12,160,4,1,87,33,46,20,39,14,6,1,10,15,43
Forest and Fire Sciences,152,86,15,65,23,38,3,2,78,36,530,54,41,27,60,53,186,17,22,218,198,61,64,261,311,6,11,141,47,51
General Engineering,6,24,0,40,9,5,2,0,44,21,8,2,4,0,6,5,11,13,12,29,61,47,44,12,23,19,10,4,35,14
Graphic Communication,14,42,50,25,1,3,2,0,20,13,64,25,96,11,7,8,51,25,40,76,67,12,31,41,3,11,46,44,13,101
History,134,7,0,8,0,7,0,5,9,49,19,19,3,12,0,13,0,2,8,8,7,0,10,1,2,0,0,4,2,1
Industrial Engineering,48,84,16,100,13,10,4,0,87,22,123,38,14,26,11,17,48,35,57,114,197,17,124,41,47,31,24,52,74,84
Industrial Technology and Packaging,4,9,1,5,0,5,1,0,4,5,20,8,3,8,3,1,23,2,5,17,14,5,14,11,1,2,5,13,6,37
Interdisciplinary Studies,54,4,0,7,0,4,0,0,4,3,7,9,7,4,0,11,0,3,4,6,13,0,26,1,1,3,4,3,4,3
Journalism,34,18,6,7,1,4,1,2,7,15,12,16,88,44,1,9,11,14,11,28,13,1,32,14,0,6,15,23,3,2
