UMAP Random State,Num Topics,Num Combinations,Num Top Words,Num Top Programs,Reachable Programs,Reachable Programs %
52,10,5,5,3,22,26.19047619047619
52,10,5,5,5,28,33.333333333333336
52,10,5,5,7,31,36.904761904761905
52,10,5,10,3,22,26.19047619047619
52,10,5,10,5,30,35.714285714285715
52,10,5,10,7,39,46.42857142857143
52,10,5,15,3,22,26.19047619047619
52,10,5,15,5,32,38.095238095238095
52,10,5,15,7,35,41.666666666666664
52,10,5,20,3,27,32.142857142857146
52,10,5,20,5,34,40.476190476190474
52,10,5,20,7,38,45.23809523809524
52,20,5,5,3,49,58.333333333333336
52,20,5,5,5,58,69.04761904761905
52,20,5,5,7,66,78.57142857142857
52,20,5,10,3,55,65.47619047619048
52,20,5,10,5,61,72.61904761904762
52,20,5,10,7,65,77.38095238095238
52,20,5,15,3,53,63.095238095238095
52,20,5,15,5,66,78.57142857142857
52,20,5,15,7,70,83.33333333333333
52,20,5,20,3,52,61.904761904761905
52,20,5,20,5,63,75.0
52,20,5,20,7,70,83.33333333333333
52,25,5,5,3,61,72.61904761904762
52,25,5,5,5,69,82.14285714285714
52,25,5,5,7,73,86.9047619047619
52,25,5,10,3,61,72.61904761904762
52,25,5,10,5,68,80.95238095238095
52,25,5,10,7,74,88.0952380952381
52,25,5,15,3,64,76.19047619047619
52,25,5,15,5,72,85.71428571428571
52,25,5,15,7,78,92.85714285714286
52,25,5,20,3,63,75.0
52,25,5,20,5,73,86.9047619047619
52,25,5,20,7,78,92.85714285714286
52,30,5,5,3,65,77.38095238095238
52,30,5,5,5,74,88.0952380952381
52,30,5,5,7,78,92.85714285714286
52,30,5,10,3,70,83.33333333333333
52,30,5,10,5,74,88.0952380952381
52,30,5,10,7,77,91.66666666666667
52,30,5,15,3,71,84.52380952380952
52,30,5,15,5,78,92.85714285714286
52,30,5,15,7,81,96.42857142857143
52,30,5,20,3,71,84.52380952380952
52,30,5,20,5,78,92.85714285714286
52,30,5,20,7,81,96.42857142857143
