Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,0.021052631578947368,0.031578947368421054,0.4421052631578947,0.0,0.30526315789473685,0.6421052631578947,0.05263157894736842,0.07368421052631578,0.5052631578947369,0.5894736842105263
Agricultural and Environmental Plant Sciences,0.27058823529411763,0.023529411764705882,0.2,0.047058823529411764,0.047058823529411764,1.9176470588235295,0.058823529411764705,0.36470588235294116,0.15294117647058825,0.2823529411764706
Agricultural Business,0.28888888888888886,0.022222222222222223,0.15555555555555556,0.0,0.06666666666666667,1.6,0.1111111111111111,0.37777777777777777,0.5777777777777777,0.35555555555555557
Agricultural Communication,0.29545454545454547,0.022727272727272728,0.2727272727272727,0.0,0.09090909090909091,1.25,0.7272727272727273,0.5227272727272727,0.29545454545454547,0.2727272727272727
Agricultural Science,0.2523364485981308,0.037383177570093455,0.18691588785046728,0.009345794392523364,0.028037383177570093,1.4953271028037383,0.1588785046728972,0.16822429906542055,0.3177570093457944,0.17757009345794392
Agricultural Systems Management,0.1111111111111111,0.012345679012345678,0.43209876543209874,0.07407407407407407,0.037037037037037035,0.9506172839506173,0.18518518518518517,0.2345679012345679,0.38271604938271603,0.4567901234567901
Animal Science,0.10891089108910891,0.07425742574257425,0.07920792079207921,0.0297029702970297,0.07920792079207921,0.8316831683168316,0.054455445544554455,0.5346534653465347,0.30198019801980197,0.25742574257425743
Anthropology and Geography,1.1846153846153846,0.046153846153846156,0.15384615384615385,0.12307692307692308,0.0,0.7384615384615385,0.38461538461538464,0.23076923076923078,0.26153846153846155,0.26153846153846155
Architectural Engineering,0.04081632653061224,0.0,0.30612244897959184,0.0,0.1836734693877551,0.4897959183673469,0.08163265306122448,0.08163265306122448,0.46938775510204084,1.3877551020408163
Architecture,0.35135135135135137,0.02702702702702703,0.02702702702702703,0.0,0.24324324324324326,0.13513513513513514,0.16216216216216217,0.02702702702702703,0.05405405405405406,1.7027027027027026
Art and Design,1.0454545454545454,0.011363636363636364,0.20454545454545456,0.10227272727272728,0.045454545454545456,0.23863636363636365,0.5340909090909091,0.011363636363636364,0.17045454545454544,0.14772727272727273
Biochemistry,0.013157894736842105,0.27631578947368424,0.06578947368421052,0.0,0.15789473684210525,0.3157894736842105,0.07894736842105263,1.3026315789473684,0.32894736842105265,0.5
Biological Sciences,0.30985915492957744,0.36619718309859156,0.19014084507042253,0.15492957746478872,0.16901408450704225,0.5211267605633803,0.20422535211267606,0.8028169014084507,0.2746478873239437,0.352112676056338
Biomedical Engineering,0.030612244897959183,0.030612244897959183,0.42857142857142855,0.0,0.29591836734693877,0.5,0.1836734693877551,0.6530612244897959,0.4897959183673469,0.7040816326530612
BioResource and Agricultural Engineering,0.09523809523809523,0.0,0.4444444444444444,0.06349206349206349,0.1746031746031746,0.5396825396825397,0.14285714285714285,0.4126984126984127,0.2698412698412698,0.47619047619047616
Business Administration,0.42424242424242425,0.030303030303030304,0.30303030303030304,0.0,0.06060606060606061,0.6060606060606061,0.15151515151515152,0.06060606060606061,1.1515151515151516,0.3939393939393939
