Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,0.021052631578947368,0.031578947368421054,0.35789473684210527,0.07368421052631578,0.0,0.0,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.031578947368421054,0.0,0.0,0.0,0.0,0.09473684210526316,0.8315789473684211,0.0,0.11578947368421053,0.021052631578947368,0.08421052631578947
Agricultural and Environmental Plant Sciences,0.2,0.023529411764705882,0.15294117647058825,1.3529411764705883,0.011764705882352941,0.03529411764705882,0.1411764705882353,0.03529411764705882,0.09411764705882353,0.023529411764705882,0.1411764705882353,0.0,0.16470588235294117,0.1411764705882353,0.011764705882352941,0.011764705882352941,0.023529411764705882,0.03529411764705882,0.023529411764705882,0.0
Agricultural Business,0.15555555555555556,0.0,0.13333333333333333,0.9333333333333333,0.0,0.0,0.06666666666666667,0.2222222222222222,0.022222222222222223,0.0,0.26666666666666666,0.0,0.0,1.0222222222222221,0.022222222222222223,0.0,0.1111111111111111,0.044444444444444446,0.0,0.0
Agricultural Communication,0.25,0.022727272727272728,0.09090909090909091,0.8863636363636364,0.22727272727272727,0.0,0.11363636363636363,0.11363636363636363,0.022727272727272728,0.022727272727272728,0.1590909090909091,0.0,0.0,0.6818181818181818,0.0,0.0,0.0,0.06818181818181818,0.0,0.0
Agricultural Science,0.205607476635514,0.037383177570093455,0.1308411214953271,1.02803738317757,0.018691588785046728,0.009345794392523364,0.04672897196261682,0.1308411214953271,0.018691588785046728,0.018691588785046728,0.18691588785046728,0.0,0.0,0.5327102803738317,0.028037383177570093,0.028037383177570093,0.0,0.018691588785046728,0.0,0.0
Agricultural Systems Management,0.1111111111111111,0.012345679012345678,0.32098765432098764,0.5925925925925926,0.012345679012345678,0.04938271604938271,0.024691358024691357,0.12345679012345678,0.08641975308641975,0.08641975308641975,0.037037037037037035,0.0,0.0,0.5802469135802469,0.024691358024691357,0.1111111111111111,0.024691358024691357,0.024691358024691357,0.0,0.012345679012345678
Animal Science,0.09405940594059406,0.024752475247524754,0.06930693069306931,0.6386138613861386,0.0,0.01485148514851485,0.24257425742574257,0.12376237623762376,0.019801980198019802,0.0049504950495049506,0.2722772277227723,0.0,0.024752475247524754,0.41089108910891087,0.0297029702970297,0.0,0.019801980198019802,0.06435643564356436,0.0049504950495049506,0.0049504950495049506
Anthropology and Geography,0.9384615384615385,0.03076923076923077,0.046153846153846156,0.47692307692307695,0.046153846153846156,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.15384615384615385,0.0,0.046153846153846156,0.13846153846153847,0.015384615384615385,0.0,0.015384615384615385,0.0,0.03076923076923077,0.015384615384615385
Architectural Engineering,0.04081632653061224,0.0,0.1836734693877551,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.0,0.7551020408163265,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.08163265306122448,0.0,0.08163265306122448
Architecture,0.2972972972972973,0.02702702702702703,0.0,0.08108108108108109,0.02702702702702703,0.0,0.0,0.0,1.5405405405405406,0.05405405405405406,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.0
Art and Design,0.7727272727272727,0.011363636363636364,0.045454545454545456,0.14772727272727273,0.32954545454545453,0.056818181818181816,0.0,0.07954545454545454,0.045454545454545456,0.13636363636363635,0.0,0.0,0.011363636363636364,0.011363636363636364,0.022727272727272728,0.011363636363636364,0.09090909090909091,0.0,0.022727272727272728,0.0
Biochemistry,0.013157894736842105,0.21052631578947367,0.02631578947368421,0.05263157894736842,0.013157894736842105,0.0,0.9078947368421053,0.06578947368421052,0.039473684210526314,0.02631578947368421,0.10526315789473684,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.13157894736842105,0.0,0.02631578947368421
Biological Sciences,0.2535211267605634,0.28169014084507044,0.1267605633802817,0.22535211267605634,0.0,0.07746478873239436,0.4154929577464789,0.028169014084507043,0.014084507042253521,0.04225352112676056,0.3028169014084507,0.007042253521126761,0.02112676056338028,0.04929577464788732,0.0,0.0,0.07746478873239436,0.1619718309859155,0.0,0.02112676056338028
Biomedical Engineering,0.02040816326530612,0.02040816326530612,0.2857142857142857,0.07142857142857142,0.05102040816326531,0.0,0.2857142857142857,0.061224489795918366,0.05102040816326531,0.04081632653061224,0.01020408163265306,0.0,0.01020408163265306,0.05102040816326531,0.0,0.030612244897959183,0.0,0.23469387755102042,0.030612244897959183,0.05102040816326531
BioResource and Agricultural Engineering,0.09523809523809523,0.0,0.2698412698412698,0.2857142857142857,0.047619047619047616,0.047619047619047616,0.15873015873015872,0.047619047619047616,0.12698412698412698,0.06349206349206349,0.015873015873015872,0.0,0.0,0.12698412698412698,0.0,0.1746031746031746,0.015873015873015872,0.12698412698412698,0.0,0.031746031746031744
Business Administration,0.30303030303030304,0.030303030303030304,0.21212121212121213,0.15151515151515152,0.030303030303030304,0.0,0.0,0.6666666666666666,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.15151515151515152,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0
Chemistry,0.014492753623188406,0.2318840579710145,0.2028985507246377,0.057971014492753624,0.014492753623188406,0.0,0.8840579710144928,0.07246376811594203,0.014492753623188406,0.028985507246376812,0.028985507246376812,0.0,0.043478260869565216,0.014492753623188406,0.0,0.0,0.0,0.15942028985507245,0.0,0.043478260869565216
Child Development,0.48717948717948717,0.15384615384615385,0.0,0.0,0.07692307692307693,0.02564102564102564,0.1794871794871795,0.0,0.0,0.0,0.02564102564102564,0.358974358974359,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0
City and Regional Planning,0.7258064516129032,0.024193548387096774,0.06451612903225806,0.1774193548387097,0.04032258064516129,0.07258064516129033,0.0,0.12096774193548387,0.056451612903225805,0.008064516129032258,0.04032258064516129,0.0,0.008064516129032258,0.03225806451612903,0.008064516129032258,0.03225806451612903,0.008064516129032258,0.04032258064516129,0.0,0.0
Civil Engineering,0.04285714285714286,0.0,0.24285714285714285,0.12857142857142856,0.014285714285714285,0.0,0.11428571428571428,0.0,0.38571428571428573,0.05714285714285714,0.0,0.0,0.014285714285714285,0.02857142857142857,0.0,0.04285714285714286,0.05714285714285714,0.18571428571428572,0.04285714285714286,0.07142857142857142
Communication Studies,0.9615384615384616,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0
Comparative Ethnic Studies,1.7179487179487178,0.0641025641025641,0.02564102564102564,0.09615384615384616,0.01282051282051282,0.08974358974358974,0.0,0.07051282051282051,0.03205128205128205,0.019230769230769232,0.08333333333333333,0.00641025641025641,0.02564102564102564,0.03205128205128205,0.08333333333333333,0.05128205128205128,0.32051282051282054,0.00641025641025641,0.0641025641025641,0.00641025641025641
Computer Engineering,0.060240963855421686,0.012048192771084338,0.6746987951807228,0.1686746987951807,0.13253012048192772,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.012048192771084338,0.024096385542168676,0.0,0.12048192771084337,0.060240963855421686,0.04819277108433735,0.060240963855421686,0.0,0.24096385542168675,0.12048192771084337,0.10843373493975904
Computer Science,0.03409090909090909,0.07386363636363637,0.6761363636363636,0.17045454545454544,0.0625,0.011363636363636364,0.13636363636363635,0.03409090909090909,0.07954545454545454,0.03409090909090909,0.005681818181818182,0.005681818181818182,0.1590909090909091,0.07954545454545454,0.0625,0.028409090909090908,0.011363636363636364,0.08522727272727272,0.022727272727272728,0.017045454545454544
Construction Management,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.018518518518518517,0.0,0.037037037037037035,0.14814814814814814,1.1111111111111112,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.0,0.0
Dairy Science,0.0449438202247191,0.02247191011235955,0.10112359550561797,0.6292134831460674,0.02247191011235955,0.011235955056179775,0.24719101123595505,0.06741573033707865,0.02247191011235955,0.0,0.23595505617977527,0.0,0.0,0.9213483146067416,0.033707865168539325,0.0,0.02247191011235955,0.0449438202247191,0.0,0.0
Economics,0.1,0.05,0.75,0.05,0.05,0.0,0.0,0.45,0.05,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.05,0.0,0.05,0.05
Electrical Engineering,0.009302325581395349,0.037209302325581395,0.5627906976744186,0.12558139534883722,0.17209302325581396,0.05116279069767442,0.06976744186046512,0.037209302325581395,0.05116279069767442,0.027906976744186046,0.0,0.0,0.07441860465116279,0.09767441860465116,0.07441860465116279,0.17674418604651163,0.0,0.15348837209302327,0.05581395348837209,0.15348837209302327
English,0.5,0.23333333333333334,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.016666666666666666,0.0,0.05,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.31666666666666665,0.0,0.1,0.0
