Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,0.021052631578947368,0.0,0.4105263157894737,1.6105263157894736,0.0,0.6421052631578947,0.5052631578947369,0.09473684210526316,0.07368421052631578,0.05263157894736842
Agricultural and Environmental Plant Sciences,0.23529411764705882,0.1411764705882353,0.21176470588235294,0.10588235294117647,0.32941176470588235,1.8941176470588235,0.12941176470588237,0.011764705882352941,0.36470588235294116,0.16470588235294117
Agricultural Business,0.4,0.06666666666666667,0.13333333333333333,0.24444444444444444,0.0,1.6666666666666667,0.4888888888888889,0.022222222222222223,0.37777777777777777,0.28888888888888886
Agricultural Communication,0.4090909090909091,0.06818181818181818,0.2727272727272727,0.1590909090909091,0.13636363636363635,1.3409090909090908,0.29545454545454547,0.0,0.5,0.25
Agricultural Science,0.29906542056074764,0.04672897196261682,0.17757009345794392,0.22429906542056074,0.009345794392523364,1.5794392523364487,0.27102803738317754,0.028037383177570093,0.16822429906542055,0.2523364485981308
Agricultural Systems Management,0.16049382716049382,0.14814814814814814,0.3950617283950617,0.6790123456790124,0.012345679012345678,0.9506172839506173,0.37037037037037035,0.024691358024691357,0.2345679012345679,0.1111111111111111
Animal Science,0.13366336633663367,0.10396039603960396,0.0891089108910891,0.22277227722772278,0.04455445544554455,0.8861386138613861,0.29207920792079206,0.0297029702970297,0.5297029702970297,0.41089108910891087
Anthropology and Geography,1.4923076923076923,0.23076923076923078,0.2,0.35384615384615387,0.1076923076923077,0.7384615384615385,0.26153846153846155,0.0,0.23076923076923078,0.3076923076923077
Architectural Engineering,0.061224489795918366,0.0,0.30612244897959184,0.8367346938775511,0.0,0.4897959183673469,0.46938775510204084,0.02040816326530612,0.08163265306122448,0.02040816326530612
Architecture,0.32432432432432434,0.0,0.05405405405405406,0.1891891891891892,0.02702702702702703,0.13513513513513514,0.05405405405405406,0.0,0.02702702702702703,0.08108108108108109
Art and Design,1.1931818181818181,0.03409090909090909,0.2159090909090909,0.10227272727272728,0.06818181818181818,0.25,0.17045454545454544,0.022727272727272728,0.011363636363636364,0.011363636363636364
Biochemistry,0.013157894736842105,0.039473684210526314,0.06578947368421052,0.47368421052631576,0.0,0.3157894736842105,0.34210526315789475,0.0,1.3157894736842106,0.17105263157894737
Biological Sciences,0.352112676056338,0.2535211267605634,0.2112676056338028,0.38028169014084506,0.035211267605633804,0.5211267605633803,0.2746478873239437,0.0,0.795774647887324,0.39436619718309857
Biomedical Engineering,0.04081632653061224,0.07142857142857142,0.42857142857142855,0.9693877551020408,0.01020408163265306,0.5,0.4897959183673469,0.0,0.6530612244897959,0.07142857142857142
BioResource and Agricultural Engineering,0.2222222222222222,0.19047619047619047,0.42857142857142855,1.126984126984127,0.0,0.5396825396825397,0.2698412698412698,0.0,0.4126984126984127,0.07936507936507936
Business Administration,0.696969696969697,0.0,0.2727272727272727,0.36363636363636365,0.06060606060606061,0.696969696969697,1.0909090909090908,0.06060606060606061,0.06060606060606061,0.15151515151515152
Chemistry,0.014492753623188406,0.028985507246376812,0.3333333333333333,0.5507246376811594,0.043478260869565216,0.3188405797101449,0.34782608695652173,0.0,1.1884057971014492,0.10144927536231885
Child Development,0.5897435897435898,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.02564102564102564,0.07692307692307693,0.10256410256410256,0.0,0.46153846153846156,0.358974358974359
City and Regional Planning,1.096774193548387,0.08870967741935484,0.12903225806451613,0.3548387096774194,0.03225806451612903,0.46774193548387094,0.45161290322580644,0.008064516129032258,0.06451612903225806,0.13709677419354838
Civil Engineering,0.05714285714285714,0.1,0.35714285714285715,1.042857142857143,0.014285714285714285,0.42857142857142855,0.2714285714285714,0.0,0.2571428571428571,0.07142857142857142
Communication Studies,1.3461538461538463,0.07692307692307693,0.038461538461538464,0.2692307692307692,0.07692307692307693,0.2692307692307692,0.34615384615384615,0.0,0.07692307692307693,0.07692307692307693
Comparative Ethnic Studies,2.858974358974359,0.12179487179487179,0.07051282051282051,0.30128205128205127,0.11538461538461539,0.3269230769230769,0.28846153846153844,0.10256410256410256,0.0641025641025641,0.14102564102564102
Computer Engineering,0.07228915662650602,0.03614457831325301,1.108433734939759,0.7831325301204819,0.12048192771084337,0.6144578313253012,0.46987951807228917,0.04819277108433735,0.2891566265060241,0.08433734939759036
Computer Science,0.07954545454545454,0.045454545454545456,1.4034090909090908,0.4772727272727273,0.17613636363636365,0.4318181818181818,0.29545454545454547,0.0625,0.29545454545454547,0.03977272727272727
Construction Management,0.16666666666666666,0.0,0.09259259259259259,0.4444444444444444,0.0,0.46296296296296297,0.4444444444444444,0.037037037037037035,0.12962962962962962,0.09259259259259259
Dairy Science,0.07865168539325842,0.0898876404494382,0.12359550561797752,0.16853932584269662,0.0449438202247191,0.8651685393258427,0.19101123595505617,0.033707865168539325,0.4943820224719101,0.34831460674157305
Economics,0.7,0.0,1.1,0.4,0.1,0.4,0.9,0.05,0.0,0.1
Electrical Engineering,0.03255813953488372,0.06976744186046512,1.0325581395348837,0.9534883720930233,0.07441860465116279,0.5116279069767442,0.4186046511627907,0.07441860465116279,0.19069767441860466,0.018604651162790697
English,0.85,0.08333333333333333,0.31666666666666665,0.11666666666666667,0.8833333333333333,0.18333333333333332,0.13333333333333333,0.0,0.016666666666666666,0.0
Environmental Earth and Soil Sciences,0.4343891402714932,0.12669683257918551,0.2398190045248869,0.29411764705882354,0.04524886877828054,1.004524886877828,0.21266968325791855,0.013574660633484163,0.19457013574660634,0.1493212669683258
Environmental Engineering,0.08333333333333333,0.15,0.31666666666666665,0.9833333333333333,0.0,0.45,0.25,0.0,0.45,0.2833333333333333
Environmental Management and Protection,0.5133928571428571,0.12946428571428573,0.17857142857142858,0.26785714285714285,0.026785714285714284,1.0580357142857142,0.24553571428571427,0.013392857142857142,0.23214285714285715,0.15178571428571427
Food Science,0.21212121212121213,0.10606060606060606,0.12121212121212122,0.25757575757575757,0.015151515151515152,0.6515151515151515,0.24242424242424243,0.045454545454545456,0.6212121212121212,0.2727272727272727
Forest and Fire Sciences,0.49327354260089684,0.13004484304932734,0.18834080717488788,0.23318385650224216,0.026905829596412557,1.0896860986547086,0.21524663677130046,0.013452914798206279,0.21076233183856502,0.18385650224215247
