Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,9,0,89,220,3,62,48,9,7,12
Agricultural and Environmental Plant Sciences,21,13,27,21,35,212,18,1,38,16
Agricultural Business,20,8,18,15,3,108,28,1,19,16
Agricultural Communication,20,3,19,10,9,80,18,0,25,14
Agricultural Science,38,5,34,33,5,211,36,3,23,31
Agricultural Systems Management,20,12,55,72,6,109,31,2,21,10
Animal Science,34,22,48,57,26,220,70,6,158,95
Anthropology and Geography,113,16,26,24,8,57,17,1,22,23
Architectural Engineering,4,0,38,48,1,24,23,1,4,3
Architecture,14,0,4,11,2,5,2,0,1,3
Art and Design,110,11,27,16,8,22,15,2,1,1
Biochemistry,8,6,25,38,15,26,27,0,132,14
Biological Sciences,57,37,65,64,19,87,45,0,154,66
Biomedical Engineering,8,7,87,113,16,52,48,0,81,11
BioResource and Agricultural Engineering,17,12,42,83,6,37,17,0,34,8
Business Administration,24,1,22,16,5,24,41,2,2,8
Chemistry,8,5,41,43,15,23,25,0,102,8
Child Development,25,6,6,3,5,3,4,0,24,45
City and Regional Planning,163,12,50,49,6,62,56,1,8,24
Civil Engineering,10,7,44,83,6,30,21,0,23,8
Communication Studies,41,2,7,7,3,7,10,0,2,5
Comparative Ethnic Studies,513,67,45,50,19,58,47,16,10,36
Computer Engineering,9,3,140,76,15,53,39,5,29,7
Computer Science,23,8,338,114,40,81,53,11,72,9
Construction Management,11,1,18,26,2,25,27,2,7,6
Dairy Science,10,8,21,23,11,114,22,3,64,35
Economics,14,1,30,11,2,8,20,1,0,3
Electrical Engineering,27,15,350,255,28,111,90,18,51,4
English,73,21,26,7,77,11,11,0,1,0
Environmental Earth and Soil Sciences,115,28,86,85,24,260,53,3,58,43
Environmental Engineering,10,9,34,74,4,31,16,1,36,20
Environmental Management and Protection,135,29,74,77,22,285,64,3,68,39
Food Science,17,12,17,24,8,96,16,3,51,20
Forest and Fire Sciences,131,30,71,71,21,290,57,3,63,47
General Engineering,6,3,42,64,15,30,23,2,47,5
Graphic Communication,9,7,56,15,8,58,35,2,12,3
History,123,6,12,7,34,6,7,0,0,0
Industrial Engineering,36,20,148,133,10,98,75,4,27,8
Industrial Technology and Packaging,3,2,12,8,2,12,8,1,3,1
Interdisciplinary Studies,46,3,7,4,1,3,4,0,2,0
Journalism,24,7,18,9,14,22,12,1,0,1
Kinesiology,50,26,22,19,12,18,28,4,40,173
Landscape Architecture,20,3,12,5,1,17,5,0,6,5
Liberal Arts and Engineering Studies,29,5,105,65,13,46,34,8,6,0
Liberal Studies,232,41,38,47,40,53,29,5,93,73
Manufacturing Engineering,36,20,138,143,12,100,74,4,38,9
Marine Sciences,37,38,56,54,17,59,36,2,119,16
Materials Engineering,14,9,58,92,15,44,42,5,50,9
Mathematics,6,7,76,76,14,39,37,4,15,1
Mechanical Engineering,11,15,117,169,9,67,53,7,32,14
Microbiology,14,23,52,45,13,82,29,1,128,38
Music,18,12,6,4,8,10,13,146,3,0
Nutrition,37,24,25,32,18,52,30,6,109,126
Philosophy,32,4,10,13,1,10,9,0,9,6
Physics,12,5,17,39,2,13,13,0,15,2
Political Science,164,7,25,24,7,24,39,0,11,16
Public Health,121,14,38,23,70,35,28,2,71,189
Psychology,101,15,16,13,11,9,12,0,31,62
"Recreation, Parks, and Tourism Administration",117,22,37,31,8,118,66,3,11,31
Sociology,150,3,26,30,9,36,38,1,9,30
Software Engineering,17,8,293,108,38,73,49,7,75,12
Spanish,276,43,48,28,100,30,40,12,8,21
Statistics,2,3,61,35,7,26,25,2,2,0
Theatre Arts,17,12,12,7,10,14,12,14,5,0
Wine and Viticulture,39,12,29,28,48,140,52,1,65,15
Accounting,2,1,3,3,1,1,12,0,1,0
Consumer Packaging,1,1,5,3,1,8,6,0,1,0
Entrepreneurship,10,4,6,3,1,7,20,0,1,0
"Ethics, Law and Social Justice",73,3,13,14,2,8,8,0,3,8
Financial Management,10,2,21,10,7,15,17,0,7,2
Global Citizenship and Social Sustainability,169,14,10,21,4,24,10,0,5,6
Health and Society,140,23,14,15,4,22,4,0,26,71
Industrial Technology,2,4,8,9,0,23,24,2,0,2
Information Systems,2,0,14,3,2,10,12,1,0,0
Management and Human Resources,5,0,4,4,1,12,22,7,2,1
Marketing Management,3,2,7,3,0,22,11,0,0,0
Packaging Technology,0,3,2,2,0,13,7,0,3,0
Quantitative Analysis,4,0,35,33,2,21,22,1,0,0
Real Estate Finance,8,2,8,6,2,12,8,0,2,1
"Science, Technology and Society",92,17,10,17,5,16,3,0,27,12
Visual Media and Cultural Studies,126,21,23,18,12,24,17,16,1,0
"Bioinformatics, Cross Disciplinary Studies",0,4,31,13,6,12,12,2,40,1
"Data Science, Cross Disciplinary Studies",0,0,37,15,5,14,11,2,5,0
"Heavy Civil, Cross Disciplinary Studies",2,0,9,12,0,15,4,1,0,0
