Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,2,0,34,45,0,4,1,9,2,0
Agricultural and Environmental Plant Sciences,18,4,13,0,14,80,3,1,12,11
Agricultural Business,11,0,6,0,0,36,10,1,3,12
Agricultural Communication,10,0,4,0,0,31,5,0,5,7
Agricultural Science,16,1,14,5,0,64,14,3,5,20
Agricultural Systems Management,6,4,26,14,0,28,10,2,2,3
Animal Science,12,4,14,9,5,56,25,6,49,54
Anthropology and Geography,41,8,3,8,3,20,4,0,4,10
Architectural Engineering,1,0,9,4,0,1,0,1,1,0
Architecture,7,0,0,3,1,1,0,0,0,1
Art and Design,61,3,4,0,1,11,7,2,0,0
Biochemistry,1,0,2,6,0,4,5,0,69,8
Biological Sciences,19,18,18,5,3,19,4,0,59,42
Biomedical Engineering,1,0,28,10,1,6,6,0,28,1
BioResource and Agricultural Engineering,5,3,17,14,0,13,3,0,10,1
Business Administration,8,0,7,0,1,0,22,2,0,0
Chemistry,1,0,14,5,3,4,5,0,61,2
Child Development,9,1,0,0,0,0,0,0,7,1
City and Regional Planning,49,9,8,4,1,4,15,1,0,5
Civil Engineering,0,2,17,4,1,3,0,0,8,0
Communication Studies,19,1,0,0,1,0,3,0,0,0
Comparative Ethnic Studies,249,15,4,0,4,14,11,13,0,13
Computer Engineering,4,2,56,10,10,6,3,3,3,2
Computer Science,5,3,119,8,28,9,6,11,24,1
Construction Management,2,0,3,3,0,2,8,2,2,2
Dairy Science,3,2,9,3,0,30,6,3,22,21
Economics,1,0,15,1,2,1,9,1,0,0
Electrical Engineering,1,11,121,49,16,10,8,15,15,0
English,42,5,0,0,28,1,1,0,0,0
Environmental Earth and Soil Sciences,48,13,31,15,5,82,10,3,12,16
Environmental Engineering,2,1,17,18,0,5,0,0,14,3
Environmental Management and Protection,57,13,22,13,2,83,15,3,18,16
Food Science,8,0,7,2,0,15,4,2,17,12
Forest and Fire Sciences,55,13,24,8,2,85,13,3,13,18
General Engineering,0,0,14,10,2,3,0,1,20,0
Graphic Communication,2,3,11,0,2,9,20,1,2,1
History,75,0,0,0,12,0,1,0,0,0
Industrial Engineering,9,11,66,7,2,10,10,4,6,0
Industrial Technology and Packaging,0,1,6,2,0,1,6,1,1,0
Interdisciplinary Studies,18,0,1,0,1,0,1,0,0,0
Journalism,8,1,0,0,0,8,5,1,0,0
Kinesiology,11,10,7,3,2,2,11,4,16,97
Landscape Architecture,10,1,1,0,0,4,2,0,1,2
Liberal Arts and Engineering Studies,11,3,43,5,9,8,6,7,1,0
Liberal Studies,116,7,9,13,9,17,8,5,25,30
Manufacturing Engineering,9,12,63,12,2,12,12,4,10,0
Marine Sciences,12,21,19,4,3,5,5,2,43,7
Materials Engineering,1,4,20,15,1,5,8,4,15,1
Mathematics,1,2,22,20,9,1,2,3,2,0
Mechanical Engineering,1,8,53,31,1,12,0,7,4,0
Microbiology,6,5,19,5,2,21,3,1,51,25
Music,8,9,1,0,0,1,0,88,0,0
Nutrition,10,2,5,3,1,11,9,5,37,75
Philosophy,15,1,2,0,0,0,1,0,0,2
Physics,6,4,2,18,0,0,0,0,3,0
Political Science,77,0,7,0,4,3,19,0,0,2
Public Health,36,3,9,2,27,7,15,2,21,109
Psychology,41,4,4,0,3,0,4,0,7,8
"Recreation, Parks, and Tourism Administration",45,10,6,0,1,10,33,2,0,10
Sociology,46,0,1,0,3,6,14,1,1,1
Software Engineering,2,3,110,6,26,4,4,7,25,1
Spanish,114,18,1,0,25,3,5,9,0,8
Statistics,1,2,21,0,5,0,0,2,0,0
Theatre Arts,7,8,2,0,2,6,1,12,0,0
Wine and Viticulture,15,2,5,4,17,43,22,1,25,7
Accounting,0,1,3,0,0,0,1,0,0,0
Consumer Packaging,1,0,1,0,0,0,4,0,0,0
Entrepreneurship,1,2,4,0,0,0,15,0,0,0
"Ethics, Law and Social Justice",25,1,4,0,0,0,1,0,0,1
Financial Management,0,2,11,1,1,1,7,0,0,0
Global Citizenship and Social Sustainability,57,11,0,7,2,7,2,0,0,0
Health and Society,44,14,6,0,1,10,0,0,3,30
Industrial Technology,0,3,6,1,0,3,14,2,0,0
Information Systems,1,0,7,0,1,0,8,1,0,0
Management and Human Resources,0,0,1,0,0,0,13,7,0,0
Marketing Management,1,2,1,0,0,0,6,0,0,0
Packaging Technology,0,2,1,0,0,1,5,0,0,0
Quantitative Analysis,0,0,14,2,1,0,4,1,0,0
Real Estate Finance,0,2,3,1,0,1,3,0,0,0
"Science, Technology and Society",38,14,4,7,2,6,1,0,0,6
Visual Media and Cultural Studies,74,7,1,0,3,8,0,14,0,0
"Bioinformatics, Cross Disciplinary Studies",0,1,11,0,2,0,1,2,21,0
"Data Science, Cross Disciplinary Studies",0,0,13,0,4,0,1,2,0,0
"Heavy Civil, Cross Disciplinary Studies",0,0,2,0,0,1,0,1,0,0
