Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,10,95,63,48,2,9,7,12,76,16,255,4,63,15,10,18,9,50,1,16,74,4,44,50,15
Agricultural and Environmental Plant Sciences,25,28,222,18,18,1,44,16,18,76,27,2,15,35,95,11,8,4,12,11,2,12,39,7,5
Agricultural Business,23,18,111,28,11,1,24,16,23,49,15,5,17,4,96,15,26,6,7,12,1,4,27,5,6
Agricultural Communication,21,19,81,18,14,0,32,14,17,39,10,7,17,11,71,18,16,5,0,10,2,43,19,5,24
Agricultural Science,45,38,220,36,11,3,28,31,26,135,50,7,23,7,206,18,36,4,19,17,6,22,68,11,24
Agricultural Systems Management,21,64,112,31,16,2,25,10,42,103,91,6,36,9,115,19,21,13,7,12,20,14,68,44,22
Animal Science,36,48,234,70,35,6,186,95,55,169,64,18,54,27,331,50,42,27,10,20,23,13,45,35,25
Anthropology and Geography,122,26,64,17,19,1,22,24,24,233,24,16,28,30,45,22,37,2,17,14,11,16,59,7,13
Architectural Engineering,5,38,25,23,2,1,4,3,40,6,45,0,27,4,7,9,3,24,1,5,32,5,13,17,5
Architecture,17,4,6,2,0,0,1,3,2,17,12,0,4,2,10,5,1,21,3,1,4,8,6,8,5
Art and Design,126,28,22,15,5,2,1,1,10,12,17,3,24,14,16,8,6,4,11,14,1,94,11,9,18
Biochemistry,12,25,41,27,11,0,147,14,31,11,36,11,42,15,18,54,0,30,0,2,21,11,13,48,1
Biological Sciences,58,65,108,45,50,0,176,66,72,191,61,23,69,32,60,119,19,32,24,21,13,26,63,14,13
Biomedical Engineering,13,101,54,48,16,0,93,11,81,12,111,4,55,20,20,26,10,52,3,20,49,19,40,89,11
BioResource and Agricultural Engineering,17,54,39,17,13,0,36,8,36,57,98,5,21,10,35,11,10,26,4,11,40,8,43,34,9
Business Administration,27,22,25,41,4,2,2,8,26,22,16,1,19,11,11,6,52,5,4,12,0,6,5,7,10
Chemistry,12,41,38,25,11,0,114,8,45,10,40,11,42,16,16,55,1,31,0,6,33,10,13,47,2
Child Development,26,6,3,6,9,0,29,46,11,12,3,23,10,5,4,19,3,3,1,2,1,7,0,1,2
City and Regional Planning,182,55,64,56,16,1,8,25,63,288,51,11,48,24,37,20,58,10,15,25,7,35,66,14,26
Civil Engineering,11,49,32,21,7,0,24,8,42,54,84,5,28,9,14,12,5,34,4,14,37,3,75,24,4
Communication Studies,46,8,7,10,3,0,2,5,13,11,8,0,12,5,1,5,4,0,4,1,1,17,3,2,15
Comparative Ethnic Studies,565,53,62,47,32,16,10,36,47,180,49,15,55,70,26,45,91,3,83,22,3,29,37,5,14
Computer Engineering,13,169,59,39,21,5,30,9,68,25,72,3,53,19,31,30,7,47,4,19,51,19,22,107,14
Computer Science,31,362,92,53,21,11,75,9,169,60,116,14,75,45,53,54,34,48,12,72,49,62,54,77,30
Construction Management,11,19,26,27,3,2,7,6,23,35,28,2,20,4,18,13,16,13,1,7,10,7,20,20,7
Dairy Science,12,22,124,22,16,3,71,35,25,49,26,12,16,12,177,23,27,5,4,7,7,15,18,15,11
Economics,14,31,9,20,1,1,0,3,25,11,11,3,10,4,1,1,31,6,1,13,3,3,9,5,5
Electrical Engineering,31,426,115,90,28,18,56,4,166,57,251,12,106,38,68,34,47,79,14,39,164,67,76,196,37
English,87,26,11,11,9,0,1,0,10,6,7,1,26,94,2,19,3,1,22,27,5,23,3,1,1
Environmental Earth and Soil Sciences,122,88,280,53,35,3,62,43,63,462,99,18,49,44,155,39,45,31,18,37,30,34,325,38,34
Environmental Engineering,13,34,34,16,10,1,44,20,43,59,78,5,22,10,26,16,7,19,4,9,44,10,60,29,5
Environmental Management and Protection,141,76,305,64,35,3,74,39,68,491,83,17,49,37,166,39,53,22,15,31,20,32,282,35,33
