Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,2,34,4,1,0,9,2,0,5,2,99,0,8,0,0,3,0,10,0,0,8,2,11,15,6
Agricultural and Environmental Plant Sciences,18,13,80,3,4,1,12,11,1,15,13,0,1,14,19,1,6,1,2,2,0,1,25,0,2
Agricultural Business,11,6,36,10,0,1,3,12,4,13,4,0,0,0,46,0,17,0,5,0,0,1,22,0,5
Agricultural Communication,10,4,31,5,0,0,5,7,1,6,3,0,0,0,32,1,9,1,0,0,0,29,15,1,5
Agricultural Science,16,14,64,14,1,3,5,20,2,30,12,0,0,0,60,2,27,1,0,0,0,13,50,1,7
Agricultural Systems Management,6,26,28,10,4,2,2,3,3,29,24,0,10,0,45,1,12,0,2,0,1,8,42,6,6
Animal Science,12,14,56,25,3,6,49,54,7,40,12,0,4,5,72,3,30,2,4,1,1,3,23,7,3
Anthropology and Geography,41,3,20,4,8,0,4,10,1,66,1,0,1,3,6,2,22,0,1,2,1,3,28,0,1
Architectural Engineering,1,9,1,0,0,1,1,0,2,1,2,0,1,0,0,0,1,4,0,0,4,3,9,3,2
Architecture,7,0,1,0,0,0,0,1,0,6,0,0,0,1,3,0,1,2,0,0,0,5,2,1,1
Art and Design,61,4,11,7,3,2,0,0,0,0,4,0,3,1,1,1,4,0,8,2,0,35,1,1,4
Biochemistry,1,2,4,5,0,0,69,8,3,4,1,0,8,0,1,12,0,5,0,0,2,0,3,9,1
Biological Sciences,19,18,19,4,11,0,59,42,13,64,10,1,10,3,7,29,9,12,11,0,3,4,34,1,3
Biomedical Engineering,1,28,6,6,0,0,28,1,7,4,14,0,8,1,3,2,3,9,0,0,5,7,3,22,2
BioResource and Agricultural Engineering,5,17,13,3,3,0,10,1,3,11,19,0,4,0,4,0,9,5,1,0,2,5,21,6,4
Business Administration,8,7,0,22,0,2,0,0,5,0,4,0,3,1,3,1,23,0,1,0,0,1,0,1,4
Chemistry,1,14,4,5,0,0,61,2,3,3,2,0,8,3,0,12,0,8,0,0,3,0,3,9,2
Child Development,9,0,0,0,1,0,7,1,1,3,0,14,2,0,0,6,0,0,0,0,0,4,0,1,0
City and Regional Planning,49,8,4,15,9,1,0,5,7,112,8,0,4,1,4,2,30,2,1,0,0,9,23,0,8
Civil Engineering,0,17,3,0,0,0,8,0,2,13,10,0,5,1,0,0,1,10,4,0,5,1,29,7,3
Communication Studies,19,0,0,3,0,0,0,0,1,1,1,0,3,1,0,1,3,0,2,0,0,10,1,0,2
Comparative Ethnic Studies,249,4,14,11,14,13,0,13,1,37,11,1,11,4,5,6,39,0,50,10,1,6,14,1,0
Computer Engineering,4,56,6,3,3,3,3,2,5,4,13,0,9,10,4,0,1,18,0,0,9,11,1,30,3
Computer Science,5,119,9,6,2,11,24,1,29,10,26,1,14,28,5,11,5,12,2,0,3,22,2,11,10
Construction Management,2,3,2,8,0,2,2,2,3,10,3,0,3,0,2,2,9,3,1,0,0,2,8,2,3
Dairy Science,3,9,30,6,1,3,22,21,4,7,8,0,0,0,83,2,18,2,2,0,0,8,7,3,2
Economics,1,15,1,9,0,1,0,0,5,0,3,0,0,2,0,1,18,0,1,1,1,0,0,1,4
Electrical Engineering,1,121,10,8,11,15,15,0,13,13,69,0,8,16,6,8,8,26,0,0,33,53,8,55,9
English,42,0,1,1,2,0,0,0,2,0,0,0,19,28,0,14,1,0,19,6,0,3,0,0,0
Environmental Earth and Soil Sciences,48,31,82,10,13,3,12,16,4,157,19,0,2,5,20,3,20,5,0,0,5,11,178,6,13
Environmental Engineering,2,17,5,0,0,0,14,3,7,20,13,0,3,0,3,0,3,6,2,0,6,1,30,3,3
Environmental Management and Protection,57,22,83,15,13,3,18,16,4,181,17,0,1,2,23,3,27,3,0,0,3,11,144,2,10
Food Science,8,7,15,4,0,2,17,12,1,3,7,0,0,0,87,0,3,2,6,0,2,0,9,6,0
Forest and Fire Sciences,55,24,85,13,13,3,13,18,4,193,20,0,1,2,24,2,25,3,1,0,3,11,173,3,6
General Engineering,0,14,3,0,0,1,20,0,6,1,6,0,4,2,0,0,1,6,0,0,7,4,5,13,4
Graphic Communication,2,11,9,20,2,1,2,1,1,12,5,0,9,2,9,0,5,1,5,0,0,63,1,7,10
History,75,0,0,1,0,0,0,0,0,2,1,0,0,12,0,6,13,0,6,3,0,0,0,0,0
Industrial Engineering,9,66,10,10,15,4,6,0,17,21,27,0,14,2,8,0,18,7,2,0,4,7,14,20,7
