Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,9,42,62,48,0,9,7,12,15,70,205,4,60,3,6,12,7,34,1,9,4,65,14,14,39,5,8,6,19,3
Agricultural and Environmental Plant Sciences,21,20,212,18,13,1,38,14,71,16,15,1,15,35,89,2,6,4,12,4,11,2,25,4,6,48,15,6,49,16
Agricultural Business,20,7,108,28,3,1,19,13,46,21,4,3,15,3,84,3,24,4,7,1,4,1,22,6,5,31,4,5,18,13
Agricultural Communication,20,12,80,18,3,0,25,11,38,14,3,5,15,9,63,5,12,4,0,2,43,2,15,24,5,23,4,7,14,10
Agricultural Science,38,21,211,36,5,3,23,27,129,22,23,3,19,5,183,9,33,4,14,4,21,5,54,18,6,93,5,7,58,24
Agricultural Systems Management,20,35,109,31,10,2,21,10,96,36,62,4,35,6,100,1,18,8,7,6,14,16,47,16,28,32,12,15,41,37
Animal Science,34,18,220,70,19,6,158,88,160,51,29,4,47,26,263,19,35,19,10,5,13,20,23,14,24,122,21,23,96,43
Anthropology and Geography,113,13,57,17,15,1,22,21,211,19,11,15,28,8,32,13,36,1,17,3,16,9,56,8,1,15,4,27,15,21
Architectural Engineering,4,15,24,23,0,1,4,3,6,34,22,0,27,1,1,1,2,13,1,2,4,26,11,5,11,0,46,3,48,2
Architecture,14,2,5,2,0,0,1,3,17,2,10,0,3,2,6,2,1,12,3,0,7,4,5,5,4,2,42,2,62,3
Art and Design,110,19,22,15,3,2,1,1,12,8,9,1,24,10,14,6,6,4,11,4,80,1,1,16,8,11,6,12,17,14
Biochemistry,8,5,26,27,6,0,132,14,11,28,16,6,40,15,4,34,0,22,0,0,8,14,10,1,40,3,17,0,9,10
Biological Sciences,57,30,87,45,33,0,154,63,178,64,26,18,68,19,28,94,13,27,24,8,26,12,44,8,8,18,16,32,21,36
Biomedical Engineering,8,45,52,48,7,0,81,11,12,71,69,1,54,16,12,10,6,41,3,16,19,39,13,9,63,17,22,9,37,42
BioResource and Agricultural Engineering,17,28,37,17,11,0,34,8,53,30,76,0,21,6,27,2,9,18,4,7,8,29,30,7,19,8,17,3,22,14
Business Administration,24,10,24,41,3,2,2,8,21,22,4,1,16,5,10,3,45,3,4,2,6,0,0,9,7,34,1,10,7,15
Chemistry,8,23,23,25,5,0,102,8,10,37,22,7,40,15,3,34,0,24,0,0,7,24,10,2,40,3,12,1,6,8
Child Development,25,3,3,4,6,0,24,43,12,8,0,19,10,5,0,15,1,2,1,2,7,1,0,2,1,0,2,6,0,1
City and Regional Planning,163,17,62,56,11,1,8,23,257,55,17,8,47,6,28,11,46,7,15,4,34,6,50,19,10,28,9,54,41,24
Civil Engineering,10,25,30,21,5,0,23,8,48,35,64,0,28,6,9,5,4,24,4,9,3,29,62,4,20,6,37,6,55,4
Communication Studies,41,1,7,10,1,0,2,5,11,11,2,0,12,3,1,3,4,0,4,0,15,1,2,13,2,4,1,5,4,4
Comparative Ethnic Studies,513,11,58,47,19,16,10,34,165,42,15,12,55,28,15,38,84,1,83,10,27,3,34,6,5,16,5,36,18,17
Computer Engineering,9,108,53,39,4,5,29,7,25,54,32,3,52,15,21,5,5,35,4,2,19,35,6,10,80,17,8,8,43,54
Computer Science,23,304,81,53,7,11,72,9,60,107,67,5,72,40,45,33,15,33,12,19,49,40,5,29,62,42,23,22,66,100
Construction Management,11,5,25,27,0,2,7,6,35,21,15,2,18,2,13,7,15,9,1,4,7,9,12,7,17,19,69,5,89,13
Dairy Science,10,12,114,22,7,3,64,32,49,23,13,5,13,11,155,7,23,5,4,2,15,7,7,8,11,45,10,12,33,15
Economics,14,23,8,20,0,1,0,3,11,18,3,3,8,2,1,1,29,4,1,1,2,3,0,5,5,9,1,1,7,5
Electrical Engineering,27,284,111,90,17,18,51,4,56,130,153,6,106,28,56,12,24,62,14,13,67,111,14,34,139,32,22,18,80,72
English,73,19,11,11,5,0,1,0,6,9,0,0,26,77,2,18,2,0,22,9,23,5,0,1,1,2,0,13,3,1
Environmental Earth and Soil Sciences,115,53,260,53,28,3,58,39,415,50,59,12,47,24,132,21,36,20,18,14,33,21,289,27,25,86,30,47,101,44
Environmental Engineering,10,19,31,16,8,1,36,20,58,37,60,0,21,4,14,4,7,12,4,3,10,36,40,5,14,6,10,3,19,11
Environmental Management and Protection,135,40,285,64,29,3,68,37,445,56,43,11,47,22,143,22,40,16,15,16,31,17,251,22,21,107,26,52,109,50
Food Science,17,8,96,16,6,3,51,20,35,18,15,6,14,8,134,2,5,9,7,5,8,6,10,0,26,25,7,6,15,38
Forest and Fire Sciences,131,42,290,57,29,3,63,43,472,47,41,12,40,21,157,24,43,18,16,18,33,12,294,18,23,109,27,60,124,47
General Engineering,6,19,30,23,3,2,47,5,8,40,35,4,28,15,4,5,2,17,0,3,4,36,11,10,33,2,16,5,16,9
Graphic Communication,9,48,58,35,4,2,12,3,50,20,7,1,23,8,45,0,10,5,7,1,108,2,2,45,38,63,10,19,36,95
History,123,6,6,7,0,0,0,0,18,6,1,0,8,41,0,7,17,0,9,3,3,3,0,0,0,1,1,4,3,1
Industrial Engineering,36,86,98,75,18,4,27,8,102,104,76,8,90,10,40,9,37,27,19,10,13,39,27,23,70,48,15,38,56,70
Industrial Technology and Packaging,3,11,12,8,1,1,3,1,17,9,7,0,4,2,19,2,4,5,3,3,4,4,0,6,14,24,3,3,13,32
Interdisciplinary Studies,46,4,3,4,0,0,2,0,6,18,1,1,6,1,0,3,6,0,4,0,8,2,0,3,1,1,0,13,2,2
Journalism,24,12,22,12,2,1,0,1,11,24,3,2,7,14,11,4,12,2,13,1,82,4,0,16,5,12,0,16,7,2
Kinesiology,50,13,18,28,20,4,40,175,40,20,11,12,34,12,6,16,10,4,17,1,20,13,2,31,8,12,9,26,7,11
Landscape Architecture,20,9,17,5,3,0,6,5,30,9,3,1,8,1,8,16,1,4,3,2,13,2,7,9,8,8,4,6,38,9
Liberal Arts and Engineering Studies,29,80,46,34,5,8,6,0,28,45,41,4,40,12,27,5,6,13,6,9,46,22,6,18,30,22,10,14,41,52
Liberal Studies,232,20,53,29,23,5,93,73,69,24,30,17,53,39,16,144,25,33,54,13,29,22,19,13,17,12,19,21,23,19
Manufacturing Engineering,36,78,100,74,18,4,38,9,105,92,88,10,87,12,51,7,36,28,19,12,23,43,27,22,110,59,17,39,78,101
Marine Sciences,37,30,59,36,35,2,119,16,147,53,26,16,54,17,19,64,12,23,27,5,16,17,44,6,8,17,15,26,26,17
Materials Engineering,14,27,44,42,10,5,50,9,28,50,58,8,48,15,24,35,12,29,7,7,22,41,17,11,121,18,27,7,51,64
Mathematics,6,43,39,37,4,4,15,1,12,96,30,3,39,14,9,27,9,77,6,6,1,75,6,10,28,11,8,5,22,13
Mechanical Engineering,11,74,67,53,11,7,32,14,25,73,131,9,76,9,31,7,6,28,18,16,33,69,23,16,142,8,13,14,69,72
Microbiology,14,29,82,29,21,1,128,38,37,41,20,4,36,13,66,4,4,14,8,1,7,10,12,4,15,13,13,4,13,19
Music,18,2,10,13,9,146,3,0,0,5,0,0,27,8,2,10,0,0,15,2,4,1,0,0,2,3,4,3,1,2
Nutrition,37,8,52,30,17,6,109,120,34,26,12,12,31,18,33,11,10,20,9,3,14,9,3,6,11,13,15,9,14,15
Philosophy,32,2,10,9,3,0,9,6,11,8,5,3,11,1,1,7,4,2,2,6,14,0,0,0,0,1,1,2,1,16
Physics,12,4,13,13,5,0,15,2,4,24,9,6,27,2,0,0,2,13,4,1,6,48,0,3,23,0,2,0,8,14
Political Science,164,13,24,39,2,0,11,16,40,22,12,2,15,7,8,2,25,3,16,0,15,2,4,5,10,12,4,6,17,9
Public Health,121,25,35,28,11,2,71,189,83,35,11,7,23,70,19,19,11,8,11,6,36,7,3,16,8,18,17,29,12,19
Psychology,101,9,9,12,13,0,31,62,16,12,6,8,22,11,3,18,9,4,9,1,14,1,0,9,2,6,3,17,4,5
"Recreation, Parks, and Tourism Administration",117,12,118,66,14,3,11,30,171,41,7,15,48,8,74,22,47,8,23,5,40,2,17,48,10,110,11,52,55,36
Sociology,150,6,36,38,0,1,9,30,36,29,11,6,22,9,13,14,15,1,9,1,20,2,2,12,3,18,6,19,14,15
Software Engineering,17,258,73,49,7,7,75,12,61,103,60,4,62,38,39,30,12,32,11,18,27,44,4,23,59,37,21,18,61,82
Spanish,276,22,30,40,18,12,8,19,92,27,2,11,70,100,3,35,44,0,59,68,26,0,14,7,3,6,9,36,10,8
Statistics,2,38,26,25,2,2,2,0,4,83,11,3,31,7,6,1,0,26,4,3,3,19,2,8,6,6,3,4,18,13
Theatre Arts,17,6,14,12,9,14,5,0,3,8,1,1,18,9,8,1,1,1,13,3,6,0,1,8,12,3,14,6,22,11
Wine and Viticulture,39,12,140,52,11,1,65,15,65,28,10,5,30,48,74,4,45,7,8,3,26,5,14,7,12,75,13,20,35,28
Accounting,2,3,1,12,8,0,1,0,2,0,4,0,0,1,2,0,33,0,1,0,1,0,1,0,2,3,1,0,2,2
Consumer Packaging,1,3,8,6,1,0,1,0,9,5,1,0,3,1,7,0,3,1,0,3,3,0,0,1,18,12,1,1,5,37
Entrepreneurship,10,4,7,20,2,0,1,0,5,3,1,1,10,1,6,1,12,0,4,0,9,0,0,11,5,36,5,11,8,23
"Ethics, Law and Social Justice",73,6,8,8,2,0,3,8,8,8,7,0,7,2,0,1,9,1,4,0,8,0,0,0,6,1,3,5,6,6
Financial Management,10,16,15,17,6,0,7,2,17,17,5,0,7,7,11,1,89,3,3,2,3,3,1,0,6,27,7,1,11,12
