Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,10,3,48,62,5,0,7,48,57,56,9,10,3,10,9,236,1,45,2,58
Agricultural and Environmental Plant Sciences,25,3,21,212,6,3,38,13,26,18,19,1,35,92,1,27,12,5,2,2
Agricultural Business,23,1,7,108,5,0,19,26,17,25,20,3,3,87,1,15,7,5,0,1
Agricultural Communication,21,1,12,80,33,0,25,13,13,11,16,4,9,65,0,10,0,6,0,2
Agricultural Science,45,5,23,211,18,1,23,34,22,33,34,2,5,185,3,45,14,4,0,5
Agricultural Systems Management,21,1,42,109,16,4,21,31,40,46,20,7,6,108,2,75,7,5,0,16
Animal Science,35,19,18,220,11,5,158,61,57,63,100,6,26,275,6,55,10,28,1,19
Anthropology and Geography,115,3,13,57,25,8,22,17,17,26,29,14,8,35,1,16,17,1,2,9
Architectural Engineering,5,0,15,24,7,0,4,23,74,25,7,1,1,7,1,39,1,20,0,23
Architecture,15,1,2,5,9,0,1,2,70,5,6,0,2,9,0,9,3,21,0,4
Art and Design,118,1,20,22,87,9,1,16,20,37,3,4,7,16,2,17,11,4,2,1
Biochemistry,2,21,5,26,6,3,132,25,38,26,21,7,15,17,0,29,0,21,0,15
Biological Sciences,54,52,30,87,29,12,154,39,53,57,64,17,19,36,0,56,24,30,0,13
Biomedical Engineering,13,4,48,52,21,1,81,48,82,56,17,7,16,19,0,98,3,37,3,37
BioResource and Agricultural Engineering,17,0,37,37,10,3,34,17,32,25,10,2,6,33,0,81,4,17,0,26
Business Administration,27,1,10,24,6,0,2,38,14,39,6,4,6,11,2,16,4,4,0,0
Chemistry,2,21,23,23,5,3,102,23,31,24,15,8,15,16,0,34,0,22,0,25
Child Development,23,34,3,3,5,1,24,3,5,4,18,18,5,3,0,3,1,2,0,1
City and Regional Planning,173,5,20,62,32,10,8,49,50,56,19,12,6,31,1,47,15,11,0,6
Civil Engineering,11,2,28,30,8,0,23,19,61,24,5,1,6,14,0,79,4,25,3,26
Communication Studies,44,3,2,7,12,0,2,9,9,14,2,1,3,1,0,8,4,0,0,1
Comparative Ethnic Studies,501,23,19,58,24,14,10,46,43,60,28,13,24,16,16,49,83,3,10,3
Computer Engineering,12,1,108,53,22,4,29,39,52,49,13,10,15,29,5,63,4,36,10,37
Computer Science,28,19,296,81,49,2,72,53,86,76,10,12,40,52,11,104,12,37,9,35
Construction Management,10,5,6,25,8,0,7,26,90,28,8,3,2,16,2,25,1,12,0,5
Dairy Science,12,5,11,114,10,2,64,20,22,20,39,2,11,161,3,23,4,6,0,7
Economics,14,1,23,8,2,0,0,18,12,18,2,1,2,1,1,10,1,6,1,3
Electrical Engineering,31,8,302,111,65,13,51,90,128,112,15,12,28,68,18,207,14,63,12,115
English,54,16,19,11,7,2,1,8,8,14,0,0,81,2,0,7,22,1,6,5
Environmental Earth and Soil Sciences,120,9,55,260,42,13,58,43,61,57,47,13,24,144,3,84,18,19,0,24
Environmental Engineering,13,1,19,31,11,0,36,15,28,18,19,1,4,24,1,60,4,16,0,32
Environmental Management and Protection,138,9,42,285,39,13,68,49,62,62,49,10,22,155,3,70,15,15,0,18
Food Science,19,1,8,96,7,0,51,14,22,13,23,5,8,137,3,23,7,9,0,6
Forest and Fire Sciences,134,8,45,290,42,13,63,42,56,54,57,11,21,170,3,69,16,17,0,13
General Engineering,6,0,19,30,4,0,47,23,45,27,6,6,15,9,2,50,0,19,0,33
Graphic Communication,13,0,47,58,137,46,12,30,26,47,7,8,8,47,2,17,7,6,0,2
History,121,6,7,6,0,0,0,7,7,9,0,0,35,0,0,7,9,0,3,3
Industrial Engineering,40,2,90,98,21,16,27,74,96,100,9,17,10,46,4,130,19,25,1,36
Industrial Technology and Packaging,4,0,13,12,6,0,3,7,6,9,3,2,2,21,1,6,3,7,0,5
Interdisciplinary Studies,49,4,4,3,4,0,2,4,4,5,0,0,1,0,0,4,4,1,0,2
Journalism,32,1,15,22,52,1,0,11,7,8,1,2,14,11,1,9,13,3,0,4
Kinesiology,52,16,13,18,19,5,40,20,20,30,176,15,12,22,4,17,17,4,1,14
Landscape Architecture,20,12,9,17,15,4,6,5,19,11,5,1,1,9,0,6,3,20,0,2
Liberal Arts and Engineering Studies,30,5,87,46,56,19,6,33,51,46,6,7,13,32,8,66,6,18,4,22
Liberal Studies,224,103,21,53,20,4,93,27,39,36,62,21,47,30,5,36,54,36,6,21
Manufacturing Engineering,40,0,85,100,30,15,38,73,112,101,14,20,12,61,4,135,19,27,1,40
Marine Sciences,39,35,31,59,23,18,119,31,43,51,14,16,17,24,2,48,27,27,0,18
Materials Engineering,16,19,27,44,21,6,50,40,80,49,20,12,15,38,5,74,7,22,0,41
Mathematics,6,7,44,39,0,0,15,35,46,37,8,1,14,16,4,49,6,82,27,74
Mechanical Engineering,16,4,89,67,29,3,32,45,90,66,20,13,9,47,7,140,18,25,1,66
Microbiology,13,3,29,82,8,2,128,26,39,30,38,3,13,70,1,38,8,17,0,11
Music,9,10,2,10,6,0,3,4,8,26,0,1,8,2,147,4,15,0,0,1
Nutrition,36,15,8,52,8,4,109,27,37,28,101,12,18,35,6,27,9,25,0,11
Philosophy,36,6,3,10,11,2,9,9,9,10,4,3,1,1,0,13,2,2,6,0
Physics,13,0,4,13,7,4,15,13,17,18,4,6,2,4,0,18,4,18,0,57
Political Science,162,5,18,24,9,1,11,31,19,20,9,2,7,8,0,24,16,4,0,2
Public Health,118,19,25,35,28,3,71,28,33,28,188,8,70,28,2,22,11,8,4,7
Psychology,98,19,10,9,7,3,31,11,10,17,27,10,11,4,0,13,9,4,0,1
