Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,2,3,34,7,0,0,2,1,2,3,0,0,0,0,9,79,0,11,2,8
Agricultural and Environmental Plant Sciences,17,2,13,115,1,3,12,3,8,2,12,0,14,12,1,1,2,3,2,0
Agricultural Business,7,0,6,42,0,0,3,10,1,0,12,0,0,46,1,0,5,2,0,0
Agricultural Communication,11,1,4,39,10,0,5,5,1,1,7,0,0,30,0,0,0,3,0,0
Agricultural Science,22,4,14,110,2,1,5,14,2,2,20,0,0,57,3,3,0,2,0,0
Agricultural Systems Management,9,1,26,48,1,4,2,10,7,7,3,0,0,47,2,9,2,2,0,1
Animal Science,19,5,14,129,0,3,49,25,4,1,55,0,5,83,6,0,4,13,1,1
Anthropology and Geography,61,2,3,31,3,8,4,4,3,1,10,0,3,9,1,0,1,0,2,1
Architectural Engineering,2,0,9,1,1,0,1,0,37,0,0,0,0,0,1,0,0,4,0,4
Architecture,11,1,0,3,1,0,0,0,57,2,1,0,1,0,0,0,0,3,0,0
Art and Design,68,1,4,13,29,5,0,7,4,12,0,0,1,1,2,1,8,0,2,0
Biochemistry,1,16,2,4,1,0,69,5,3,2,8,0,0,1,0,0,0,10,0,2
Biological Sciences,36,40,18,32,0,11,59,4,2,6,43,1,3,7,0,0,11,23,0,3
Biomedical Engineering,2,2,28,7,5,0,28,6,5,4,1,0,1,5,0,3,0,23,3,5
BioResource and Agricultural Engineering,6,0,17,18,3,3,10,3,8,4,1,0,0,8,0,11,1,8,0,2
Business Administration,10,1,7,5,1,0,0,22,0,0,1,0,1,5,2,0,1,1,0,0
Chemistry,1,16,14,4,1,0,61,5,1,2,2,0,3,1,0,0,0,11,0,3
Child Development,19,6,0,0,3,1,7,0,0,0,1,14,0,0,0,0,0,1,0,0
City and Regional Planning,90,3,8,22,5,9,0,15,7,1,5,0,1,4,1,4,1,5,0,0
Civil Engineering,3,0,17,9,1,0,8,0,27,4,0,0,1,2,0,3,4,13,3,5
Communication Studies,25,1,0,1,1,0,0,3,1,4,0,0,1,0,0,1,2,0,0,0
Comparative Ethnic Studies,268,10,4,15,2,14,0,11,5,3,13,1,4,5,13,8,50,1,10,1
Computer Engineering,5,1,56,14,11,3,3,3,3,1,2,0,10,5,4,5,0,20,10,9
Computer Science,6,13,119,30,11,2,24,6,14,6,1,1,28,14,11,5,2,15,4,3
Construction Management,3,3,3,12,1,0,2,8,60,2,2,0,0,0,2,1,1,3,0,0
Dairy Science,4,2,9,56,2,1,22,6,2,0,21,0,0,82,3,0,2,4,0,0
Economics,2,1,15,1,1,0,0,9,1,0,0,0,2,0,1,0,1,0,1,1
Electrical Engineering,2,8,121,27,37,11,15,8,11,6,0,0,16,21,16,38,0,33,12,33
English,30,14,0,2,2,2,0,1,0,3,0,0,28,0,0,0,19,0,6,0
Environmental Earth and Soil Sciences,73,6,31,151,9,13,12,10,6,1,16,0,5,17,3,2,0,7,0,5
Environmental Engineering,2,0,17,11,0,0,14,0,3,2,3,0,0,3,0,0,2,7,0,6
Environmental Management and Protection,85,6,22,162,8,13,18,15,6,1,16,0,2,19,3,2,0,5,0,3
Food Science,6,0,7,22,0,0,17,4,0,0,12,0,0,97,2,0,6,5,0,2
Forest and Fire Sciences,80,5,24,174,8,13,13,13,7,1,18,0,2,18,3,3,1,5,0,3
General Engineering,0,0,14,5,0,0,20,0,1,2,0,0,2,1,1,0,0,9,0,7
Graphic Communication,7,0,11,32,62,23,2,20,5,6,3,0,2,11,1,0,5,3,0,0
History,78,6,0,0,0,0,0,1,1,2,0,0,12,0,0,1,6,0,3,0
Industrial Engineering,18,0,66,27,5,16,6,10,7,4,1,0,2,9,4,6,2,14,1,4
Industrial Technology and Packaging,1,0,6,8,1,0,1,6,0,1,1,0,0,9,1,2,2,1,0,0
Interdisciplinary Studies,23,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0
Journalism,11,0,0,13,24,1,0,5,0,0,0,0,0,0,1,3,5,2,0,0
Kinesiology,31,3,7,5,4,5,16,11,1,8,108,1,2,3,4,0,15,3,1,0
Landscape Architecture,11,2,1,9,6,1,1,2,9,3,2,0,0,1,0,0,0,1,0,0
