Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,0.021052631578947368,0.35789473684210527,0.0,0.042105263157894736,0.0,0.0,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.031578947368421054,0.0,0.0,0.0,0.09473684210526316,0.0,0.8315789473684211,0.0,0.11578947368421053,0.021052631578947368,0.08421052631578947,0.05263157894736842,0.042105263157894736,0.0,0.0,0.021052631578947368
Agricultural and Environmental Plant Sciences,0.2,0.15294117647058825,0.011764705882352941,0.9411764705882353,0.011764705882352941,0.03529411764705882,0.1411764705882353,0.03529411764705882,0.09411764705882353,0.023529411764705882,0.1411764705882353,0.0,0.16470588235294117,0.011764705882352941,0.1411764705882353,0.011764705882352941,0.023529411764705882,0.03529411764705882,0.023529411764705882,0.0,0.011764705882352941,0.07058823529411765,0.2823529411764706,0.011764705882352941,0.29411764705882354
Agricultural Business,0.15555555555555556,0.13333333333333333,0.022222222222222223,0.8,0.0,0.0,0.06666666666666667,0.2222222222222222,0.022222222222222223,0.0,0.26666666666666666,0.0,0.0,0.022222222222222223,1.0222222222222221,0.0,0.1111111111111111,0.044444444444444446,0.0,0.0,0.08888888888888889,0.35555555555555557,0.4888888888888889,0.0,0.4666666666666667
Agricultural Communication,0.25,0.09090909090909091,0.0,0.7045454545454546,0.22727272727272727,0.0,0.11363636363636363,0.11363636363636363,0.022727272727272728,0.022727272727272728,0.1590909090909091,0.0,0.0,0.0,0.6818181818181818,0.0,0.0,0.06818181818181818,0.0,0.0,0.022727272727272728,0.1590909090909091,0.3409090909090909,0.0,0.2727272727272727
Agricultural Science,0.205607476635514,0.1308411214953271,0.018691588785046728,0.5981308411214953,0.018691588785046728,0.009345794392523364,0.04672897196261682,0.1308411214953271,0.018691588785046728,0.018691588785046728,0.18691588785046728,0.0,0.0,0.028037383177570093,0.5327102803738317,0.028037383177570093,0.0,0.018691588785046728,0.0,0.0,0.018691588785046728,0.17757009345794392,0.42990654205607476,0.009345794392523364,0.42990654205607476
Agricultural Systems Management,0.1111111111111111,0.32098765432098764,0.0,0.345679012345679,0.012345679012345678,0.04938271604938271,0.024691358024691357,0.12345679012345678,0.08641975308641975,0.08641975308641975,0.037037037037037035,0.0,0.0,0.024691358024691357,0.5802469135802469,0.1111111111111111,0.024691358024691357,0.024691358024691357,0.0,0.012345679012345678,0.037037037037037035,0.13580246913580246,0.4074074074074074,0.0,0.654320987654321
Animal Science,0.09405940594059406,0.06930693069306931,0.054455445544554455,0.27722772277227725,0.0,0.01485148514851485,0.24257425742574257,0.12376237623762376,0.019801980198019802,0.0049504950495049506,0.2722772277227723,0.0,0.024752475247524754,0.0297029702970297,0.41089108910891087,0.0,0.019801980198019802,0.06435643564356436,0.0049504950495049506,0.0049504950495049506,0.034653465346534656,0.1188118811881188,0.0891089108910891,0.019801980198019802,0.2376237623762376
Anthropology and Geography,0.9384615384615385,0.046153846153846156,0.0,0.3076923076923077,0.046153846153846156,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.15384615384615385,0.0,0.046153846153846156,0.015384615384615385,0.13846153846153847,0.0,0.015384615384615385,0.0,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.38461538461538464,0.13846153846153847,0.0,0.7230769230769231
Architectural Engineering,0.04081632653061224,0.1836734693877551,0.0,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.0,0.7551020408163265,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.08163265306122448,0.0,0.08163265306122448,0.04081632653061224,0.02040816326530612,0.14285714285714285,0.0,0.061224489795918366
Architecture,0.2972972972972973,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,1.5405405405405406,0.05405405405405406,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.10810810810810811
Art and Design,0.7727272727272727,0.045454545454545456,0.011363636363636364,0.125,0.32954545454545453,0.056818181818181816,0.0,0.07954545454545454,0.045454545454545456,0.13636363636363635,0.0,0.0,0.011363636363636364,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.09090909090909091,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0
Biochemistry,0.013157894736842105,0.02631578947368421,0.2631578947368421,0.05263157894736842,0.013157894736842105,0.0,0.9078947368421053,0.06578947368421052,0.039473684210526314,0.02631578947368421,0.10526315789473684,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.13157894736842105,0.0,0.02631578947368421,0.039473684210526314,0.0,0.039473684210526314,0.0,0.09210526315789473
Biological Sciences,0.2535211267605634,0.1267605633802817,0.352112676056338,0.13380281690140844,0.0,0.07746478873239436,0.4154929577464789,0.028169014084507043,0.014084507042253521,0.04225352112676056,0.3028169014084507,0.007042253521126761,0.02112676056338028,0.0,0.04929577464788732,0.0,0.07746478873239436,0.1619718309859155,0.0,0.02112676056338028,0.09154929577464789,0.06338028169014084,0.15492957746478872,0.0,0.44366197183098594
Biomedical Engineering,0.02040816326530612,0.2857142857142857,0.01020408163265306,0.061224489795918366,0.05102040816326531,0.0,0.2857142857142857,0.061224489795918366,0.05102040816326531,0.04081632653061224,0.01020408163265306,0.0,0.01020408163265306,0.0,0.05102040816326531,0.030612244897959183,0.0,0.23469387755102042,0.030612244897959183,0.05102040816326531,0.07142857142857142,0.02040816326530612,0.0,0.0,0.04081632653061224
BioResource and Agricultural Engineering,0.09523809523809523,0.2698412698412698,0.0,0.20634920634920634,0.047619047619047616,0.047619047619047616,0.15873015873015872,0.047619047619047616,0.12698412698412698,0.06349206349206349,0.015873015873015872,0.0,0.0,0.0,0.12698412698412698,0.1746031746031746,0.015873015873015872,0.12698412698412698,0.0,0.031746031746031744,0.047619047619047616,0.14285714285714285,0.2222222222222222,0.0,0.3492063492063492
