Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,2,34,0,4,0,0,2,1,3,0,0,0,9,0,79,0,11,2,8,5,4,2,0,0,2,5,1,2,0,0
Agricultural and Environmental Plant Sciences,5,13,1,80,1,3,12,3,1,12,0,14,1,12,1,2,3,0,0,1,6,10,24,1,22,1,1,0,5,7
Agricultural Business,9,6,1,36,0,0,3,10,0,12,0,0,1,46,0,5,2,0,0,4,11,2,22,0,20,0,1,0,12,0
Agricultural Communication,6,4,0,31,10,0,5,5,1,7,0,0,0,30,0,0,3,0,0,1,2,1,15,0,12,1,0,1,6,3
Agricultural Science,14,14,2,64,2,1,5,14,0,20,0,0,3,57,3,0,2,0,0,2,14,5,46,1,45,1,2,0,18,7
Agricultural Systems Management,7,26,0,28,1,4,2,10,6,3,0,0,2,47,9,2,2,0,1,3,7,9,33,0,48,2,1,0,18,2
Animal Science,19,14,11,56,0,3,49,25,1,55,0,5,6,83,0,4,13,0,1,7,17,9,18,4,42,1,3,0,24,29
Anthropology and Geography,45,3,0,20,3,8,4,4,0,10,0,3,1,9,0,1,0,1,1,1,3,3,9,0,64,0,8,0,2,11
Architectural Engineering,1,9,0,1,1,0,1,0,0,0,0,0,1,0,0,0,4,0,4,2,0,33,7,0,3,25,0,1,1,0
Architecture,6,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,1,48,1,0,7,26,4,0,0,0
Art and Design,49,4,1,11,29,5,0,7,12,0,0,1,2,1,1,8,0,2,0,0,0,13,0,0,0,0,1,1,2,1
Biochemistry,1,2,20,4,1,0,69,5,2,8,0,0,0,1,0,0,10,0,2,3,0,3,3,0,7,0,0,8,3,4
Biological Sciences,35,18,50,19,0,11,59,4,6,43,1,3,0,7,0,11,23,0,3,13,0,5,22,0,70,0,6,1,5,38
Biomedical Engineering,2,28,1,6,5,0,28,6,4,1,0,1,0,5,3,0,23,3,5,7,0,21,0,0,3,5,0,12,9,2
BioResource and Agricultural Engineering,4,17,0,13,3,3,10,3,3,1,0,0,0,8,11,1,8,0,2,3,1,8,14,0,17,6,0,0,1,3
Business Administration,7,7,0,0,1,0,0,22,0,1,0,1,2,5,0,1,1,0,0,5,20,1,0,0,0,0,1,2,13,0
Chemistry,1,14,20,4,1,0,61,5,2,2,0,3,0,1,0,0,11,0,3,3,0,1,3,0,6,0,0,8,3,4
