Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,0.021052631578947368,0.35789473684210527,0.0,0.042105263157894736,0.0,0.0,0.021052631578947368,0.010526315789473684,0.031578947368421054,0.0,0.0,0.0,0.09473684210526316,0.0,0.8315789473684211,0.0,0.11578947368421053,0.021052631578947368,0.08421052631578947,0.05263157894736842,0.042105263157894736,0.021052631578947368,0.0,0.0,0.021052631578947368,0.05263157894736842,0.010526315789473684,0.021052631578947368,0.0,0.0
Agricultural and Environmental Plant Sciences,0.058823529411764705,0.15294117647058825,0.011764705882352941,0.9411764705882353,0.011764705882352941,0.03529411764705882,0.1411764705882353,0.03529411764705882,0.011764705882352941,0.1411764705882353,0.0,0.16470588235294117,0.011764705882352941,0.1411764705882353,0.011764705882352941,0.023529411764705882,0.03529411764705882,0.0,0.0,0.011764705882352941,0.07058823529411765,0.11764705882352941,0.2823529411764706,0.011764705882352941,0.25882352941176473,0.011764705882352941,0.011764705882352941,0.0,0.058823529411764705,0.08235294117647059
Agricultural Business,0.2,0.13333333333333333,0.022222222222222223,0.8,0.0,0.0,0.06666666666666667,0.2222222222222222,0.0,0.26666666666666666,0.0,0.0,0.022222222222222223,1.0222222222222221,0.0,0.1111111111111111,0.044444444444444446,0.0,0.0,0.08888888888888889,0.24444444444444444,0.044444444444444446,0.4888888888888889,0.0,0.4444444444444444,0.0,0.022222222222222223,0.0,0.26666666666666666,0.0
Agricultural Communication,0.13636363636363635,0.09090909090909091,0.0,0.7045454545454546,0.22727272727272727,0.0,0.11363636363636363,0.11363636363636363,0.022727272727272728,0.1590909090909091,0.0,0.0,0.0,0.6818181818181818,0.0,0.0,0.06818181818181818,0.0,0.0,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.3409090909090909,0.0,0.2727272727272727,0.022727272727272728,0.0,0.022727272727272728,0.13636363636363635,0.06818181818181818
Agricultural Science,0.1308411214953271,0.1308411214953271,0.018691588785046728,0.5981308411214953,0.018691588785046728,0.009345794392523364,0.04672897196261682,0.1308411214953271,0.0,0.18691588785046728,0.0,0.0,0.028037383177570093,0.5327102803738317,0.028037383177570093,0.0,0.018691588785046728,0.0,0.0,0.018691588785046728,0.1308411214953271,0.04672897196261682,0.42990654205607476,0.009345794392523364,0.4205607476635514,0.009345794392523364,0.018691588785046728,0.0,0.16822429906542055,0.06542056074766354
Agricultural Systems Management,0.08641975308641975,0.32098765432098764,0.0,0.345679012345679,0.012345679012345678,0.04938271604938271,0.024691358024691357,0.12345679012345678,0.07407407407407407,0.037037037037037035,0.0,0.0,0.024691358024691357,0.5802469135802469,0.1111111111111111,0.024691358024691357,0.024691358024691357,0.0,0.012345679012345678,0.037037037037037035,0.08641975308641975,0.1111111111111111,0.4074074074074074,0.0,0.5925925925925926,0.024691358024691357,0.012345679012345678,0.0,0.2222222222222222,0.024691358024691357
Animal Science,0.09405940594059406,0.06930693069306931,0.054455445544554455,0.27722772277227725,0.0,0.01485148514851485,0.24257425742574257,0.12376237623762376,0.0049504950495049506,0.2722772277227723,0.0,0.024752475247524754,0.0297029702970297,0.41089108910891087,0.0,0.019801980198019802,0.06435643564356436,0.0,0.0049504950495049506,0.034653465346534656,0.08415841584158416,0.04455445544554455,0.0891089108910891,0.019801980198019802,0.2079207920792079,0.0049504950495049506,0.01485148514851485,0.0,0.1188118811881188,0.14356435643564355
Anthropology and Geography,0.6923076923076923,0.046153846153846156,0.0,0.3076923076923077,0.046153846153846156,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.0,0.15384615384615385,0.0,0.046153846153846156,0.015384615384615385,0.13846153846153847,0.0,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.046153846153846156,0.13846153846153847,0.0,0.9846153846153847,0.0,0.12307692307692308,0.0,0.03076923076923077,0.16923076923076924
Architectural Engineering,0.02040816326530612,0.1836734693877551,0.0,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.08163265306122448,0.0,0.08163265306122448,0.04081632653061224,0.0,0.673469387755102,0.14285714285714285,0.0,0.061224489795918366,0.5102040816326531,0.0,0.02040816326530612,0.02040816326530612,0.0
Architecture,0.16216216216216217,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.02702702702702703,1.2972972972972974,0.02702702702702703,0.0,0.1891891891891892,0.7027027027027027,0.10810810810810811,0.0,0.0,0.0
